census date,DISTRICT,PROVINCE,TOTAL POPULATION,log TOTAL POPULATION,ASIAN population,EUROPEAN population,TOTAL AFRICAN POPULATION,largest tribe in district population,Kikuyu population,TOTAL NON AFRICAN population,percent Asian population,percent European population,percent total african population,percent largest tribe in district,percent kikuyu,percent total non-African,HHI population,treatment value Asian European,post,linear time trend,Eucledian distance to nairobi,"On the Mombasa Nairobi Kampala
corridor",log urbanisation rate,district share of national none or no education 1962 control,district share of national 1-4 years education 1962 control,district share of national 5-8 years education 1962 control,district share of national 9-12 years education 1962 control,district share of national 13+ years education 1962 control,average years education 1962 control,average years education,district share of average years education 1962 control,district share of average years education,log total pop None or not stated years education 1962 control,log total pop 1-4 years education 1962 control,log total pop 5-8 years education 1962 control,log total pop 9-12 years education 1962 control,log total pop 13+ years education 1962 control,total pop None or not stated years education 1962 control,total pop 1-4 years education 1962 control,total pop 5-8 years education 1962 control,total pop 9-12 years education 1962 control,total pop 13+ years education 1962 control,percent district None or not stated years education 1962 control,percent district 1-4 years education 1962 control,percent district 5-8 years education 1962 control,percent district 9-12 years education 1962 control,percent district 13+ years education 1962 control,district share of national none or no education,district share of national 1-4 years education,district share of national 5-8 years education,district share of national 9-12 years education,district share of national 13+ years education,total pop None or not stated years education,total pop 1-4 years education,total pop 5-8 years education,total pop 9-12 years education,total pop 13+ years education,percent district None or not stated years education,percent district 1-4 years education,percent district 5-8 years education,percent district 9-12 years education,percent district 13+ years education,district share of national total employment AGRICULTURE,district share of national total employment MINING,district share of national total employment MANUFACTURING,district share of national total employment ELECTRICITY and WATER,district share of national total employment CONSTRUCTION,district share of national total employment commerce,district share of national total employment transport,district share of national total employment services,district share of national total employment all industries,district share of national total employment non-agriculture,percent district total employment AGRICULTURE,percent district total employment MINING,percent district total employment MANUFACTURING,percent district total employment ELECTRICITY and WATER,percent district total employment CONSTRUCTION,percent district total employment commerce,percent district total employment transport,percent district total employment services,percent district total employment all industries,percent district total employment non-agriculture,district share of national wage employment AGRICULTURE,district share of national wage employment MINING,district share of national wage employment MANUFACTURING,district share of national wage employment ELECTRICITY and WATER,district share of national wage employment CONSTRUCTION,district share of national wage employment commerce,district share of national wage employment transport,district share of national wage employment services,district share of national wage employment all industries,district share of national wage employment non-agriculture,percent district wage employment AGRICULTURE,percent district wage employment MINING,percent district wage employment MANUFACTURING,percent district wage employment ELECTRICITY and WATER,percent district wage employment CONSTRUCTION,percent district wage employment commerce,percent district wage employment transport,percent district wage employment services,percent district wage employment all industries,percent district wage employment non-agriculture,district share of national self employed and unpaid family workers AGRICULTURE,district share of national self employed and unpaid family workers MINING,district share of national self employed and unpaid family workers MANUFACTURING,district share of national self employed and unpaid family workers ELECTRICITY and WATER,district share of national self employed and unpaid family workers CONSTRUCTION,district share of national self employed and unpaid family workers commerce,district share of national self employed and unpaid family workers transport,district share of national self employed and unpaid family workers services,district share of national self employed and unpaid family workers all industries,district share of national self employed and unpaid family workers non-agriculture,percent district self employed and unpaid family workers AGRICULTURE,percent district self employed and unpaid family workers MINING,percent district self employed and unpaid family workers MANUFACTURING,percent district self employed and unpaid family workers ELECTRICITY and WATER,percent district self employed and unpaid family workers CONSTRUCTION,percent district self employed and unpaid family workers commerce,percent district self employed and unpaid family workers transport,percent district self employed and unpaid family workers services,percent district self employed and unpaid family workers all industries,percent district self employed and unpaid family workers non-agriculture,original order
1948,Nairobi,NAIROBI,166396,5.221142882,42401,12714,109428,51475,51475,56968,25.48198274,7.640808673,65.76360009,30.93523883,30.93523883,34.23639991,0.179636111,36.5516584,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,8.366495034,,,,,,,,,,65.45169355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1948,Thika,CENTRAL,69005,4.83888056,1698,731,66475,21439,21439,2530,2.460691254,1.059343526,96.33359901,31.06876313,31.06876313,3.666400985,0.224854344,4.057238206,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,5.969459844,,,,,,,,,,46.69951453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1948,Kiambu,CENTRAL,258934,5.41318908,573,245,258085,251884,251884,849,0.221291912,0.094618706,99.67211722,97.27729846,97.27729846,0.327882781,0.94629308,0.981510061,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.518192322,,,,,,,,,,19.7104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1948,Fort Hall,CENTRAL,304478,5.483555918,698,132,303646,300355,300355,832,0.229244806,0.043352886,99.72674545,98.64587918,98.64587918,0.273254554,0.973106391,0.276058854,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1948,Nyeri,CENTRAL,184515,5.266031678,1023,408,183057,179956,179956,1458,0.554426469,0.221120234,99.20982034,97.52919817,97.52919817,0.79017966,0.951230093,0.818255384,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.804023024,,,,,,,,,,6.289930058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1948,Embu,CENTRAL,202585,5.306607286,389,44,202125,195995,,460,0.192018165,0.021719278,99.77293482,96.74704445,,0.227065183,0.936002813,0.318814488,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1948,Meru,CENTRAL,313653,5.496449446,554,111,312917,310539,,736,0.176628312,0.035389427,99.76534578,99.0071831,,0.23465422,0.980245507,0.255829657,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1948,Machakos,CENTRAL,357841,5.553690099,937,301,356545,350866,,1296,0.261848139,0.084115571,99.63782797,98.05081028,,0.362172026,0.961403721,0.315734623,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1948,Kitui,CENTRAL,211272,5.324841944,193,42,210788,203035,,484,0.091351433,0.019879587,99.77091143,96.10123443,,0.229088568,0.924129922,0.169676701,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1948,Nanyuki,CENTRAL,34558,4.5385486,818,886,32784,23287,23287,1774,2.367035129,2.563805776,94.86660108,67.38526535,67.38526535,5.133398924,0.46244153,3.873957045,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.854498949,,,,,,,,,,6.684806855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
